WORDS,NEW_LABELS,"activity, animal, location, weather, human"
tench,animal,http://wordnet-rdf.princeton.edu/wn30/01440764-n
goldfish,animal,http://wordnet-rdf.princeton.edu/wn30/01443537-n
great white shark,animal,http://wordnet-rdf.princeton.edu/wn30/01484850-n
tiger shark,animal,http://wordnet-rdf.princeton.edu/wn30/01491361-n
hammerhead shark,animal,http://wordnet-rdf.princeton.edu/wn30/01494475-n
electric ray,animal,http://wordnet-rdf.princeton.edu/wn30/01496331-n
stingray,animal,http://wordnet-rdf.princeton.edu/wn30/01498041-n
cock,animal,http://wordnet-rdf.princeton.edu/wn30/01514668-n
hen,animal,http://wordnet-rdf.princeton.edu/wn30/01514859-n
ostrich,animal,http://wordnet-rdf.princeton.edu/wn30/01518878-n
brambling,animal,http://wordnet-rdf.princeton.edu/wn30/01530575-n
goldfinch,animal,http://wordnet-rdf.princeton.edu/wn30/01531178-n
house finch,animal,http://wordnet-rdf.princeton.edu/wn30/01532829-n
junco,animal,http://wordnet-rdf.princeton.edu/wn30/01534433-n
indigo bunting,animal,http://wordnet-rdf.princeton.edu/wn30/01537544-n
American robin,animal,http://wordnet-rdf.princeton.edu/wn30/01558993-n
bulbul,animal,http://wordnet-rdf.princeton.edu/wn30/01560419-n
jay,animal,http://wordnet-rdf.princeton.edu/wn30/01580077-n
magpie,animal,http://wordnet-rdf.princeton.edu/wn30/01582220-n
chickadee,animal,http://wordnet-rdf.princeton.edu/wn30/01592084-n
American dipper,animal,http://wordnet-rdf.princeton.edu/wn30/01601694-n
kite,animal,http://wordnet-rdf.princeton.edu/wn30/01608432-n
bald eagle,animal,http://wordnet-rdf.princeton.edu/wn30/01614925-n
vulture,animal,http://wordnet-rdf.princeton.edu/wn30/01616318-n
great grey owl,animal,http://wordnet-rdf.princeton.edu/wn30/01622779-n
fire salamander,animal,http://wordnet-rdf.princeton.edu/wn30/01629819-n
smooth newt,animal,http://wordnet-rdf.princeton.edu/wn30/01630670-n
newt,animal,http://wordnet-rdf.princeton.edu/wn30/01631663-n
spotted salamander,animal,http://wordnet-rdf.princeton.edu/wn30/01632458-n
axolotl,animal,http://wordnet-rdf.princeton.edu/wn30/01632777-n
American bullfrog,animal,http://wordnet-rdf.princeton.edu/wn30/01641577-n
tree frog,animal,http://wordnet-rdf.princeton.edu/wn30/01644373-n
tailed frog,animal,http://wordnet-rdf.princeton.edu/wn30/01644900-n
loggerhead sea turtle,animal,http://wordnet-rdf.princeton.edu/wn30/01664065-n
leatherback sea turtle,animal,http://wordnet-rdf.princeton.edu/wn30/01665541-n
mud turtle,animal,http://wordnet-rdf.princeton.edu/wn30/01667114-n
terrapin,animal,http://wordnet-rdf.princeton.edu/wn30/01667778-n
box turtle,animal,http://wordnet-rdf.princeton.edu/wn30/01669191-n
banded gecko,animal,http://wordnet-rdf.princeton.edu/wn30/01675722-n
green iguana,animal,http://wordnet-rdf.princeton.edu/wn30/01677366-n
Carolina anole,animal,http://wordnet-rdf.princeton.edu/wn30/01682714-n
desert grassland whiptail lizard,animal,http://wordnet-rdf.princeton.edu/wn30/01685808-n
agama,animal,http://wordnet-rdf.princeton.edu/wn30/01687978-n
frilled-necked lizard,animal,http://wordnet-rdf.princeton.edu/wn30/01688243-n
alligator lizard,animal,http://wordnet-rdf.princeton.edu/wn30/01689811-n
Gila monster,animal,http://wordnet-rdf.princeton.edu/wn30/01692333-n
European green lizard,animal,http://wordnet-rdf.princeton.edu/wn30/01693334-n
chameleon,animal,http://wordnet-rdf.princeton.edu/wn30/01694178-n
Komodo dragon,animal,http://wordnet-rdf.princeton.edu/wn30/01695060-n
Nile crocodile,animal,http://wordnet-rdf.princeton.edu/wn30/01697457-n
American alligator,animal,http://wordnet-rdf.princeton.edu/wn30/01698640-n
triceratops,animal,http://wordnet-rdf.princeton.edu/wn30/01704323-n
worm snake,animal,http://wordnet-rdf.princeton.edu/wn30/01728572-n
ring-necked snake,animal,http://wordnet-rdf.princeton.edu/wn30/01728920-n
eastern hog-nosed snake,animal,http://wordnet-rdf.princeton.edu/wn30/01729322-n
smooth green snake,animal,http://wordnet-rdf.princeton.edu/wn30/01729977-n
kingsnake,animal,http://wordnet-rdf.princeton.edu/wn30/01734418-n
garter snake,animal,http://wordnet-rdf.princeton.edu/wn30/01735189-n
water snake,animal,http://wordnet-rdf.princeton.edu/wn30/01737021-n
vine snake,animal,http://wordnet-rdf.princeton.edu/wn30/01739381-n
night snake,animal,http://wordnet-rdf.princeton.edu/wn30/01740131-n
boa constrictor,animal,http://wordnet-rdf.princeton.edu/wn30/01742172-n
African rock python,animal,http://wordnet-rdf.princeton.edu/wn30/01744401-n
Indian cobra,animal,http://wordnet-rdf.princeton.edu/wn30/01748264-n
green mamba,animal,http://wordnet-rdf.princeton.edu/wn30/01749939-n
sea snake,animal,http://wordnet-rdf.princeton.edu/wn30/01751748-n
Saharan horned viper,animal,http://wordnet-rdf.princeton.edu/wn30/01753488-n
eastern diamondback rattlesnake,animal,http://wordnet-rdf.princeton.edu/wn30/01755581-n
sidewinder,animal,http://wordnet-rdf.princeton.edu/wn30/01756291-n
trilobite,animal,http://wordnet-rdf.princeton.edu/wn30/01768244-n
harvestman,animal,http://wordnet-rdf.princeton.edu/wn30/01770081-n
scorpion,animal,http://wordnet-rdf.princeton.edu/wn30/01770393-n
yellow garden spider,animal,http://wordnet-rdf.princeton.edu/wn30/01773157-n
barn spider,animal,http://wordnet-rdf.princeton.edu/wn30/01773549-n
European garden spider,animal,http://wordnet-rdf.princeton.edu/wn30/01773797-n
southern black widow,animal,http://wordnet-rdf.princeton.edu/wn30/01774384-n
tarantula,animal,http://wordnet-rdf.princeton.edu/wn30/01774750-n
wolf spider,animal,http://wordnet-rdf.princeton.edu/wn30/01775062-n
tick,animal,http://wordnet-rdf.princeton.edu/wn30/01776313-n
centipede,animal,http://wordnet-rdf.princeton.edu/wn30/01784675-n
black grouse,animal,http://wordnet-rdf.princeton.edu/wn30/01795545-n
ptarmigan,animal,http://wordnet-rdf.princeton.edu/wn30/01796340-n
ruffed grouse,animal,http://wordnet-rdf.princeton.edu/wn30/01797886-n
prairie grouse,animal,http://wordnet-rdf.princeton.edu/wn30/01798484-n
peacock,animal,http://wordnet-rdf.princeton.edu/wn30/01806143-n
quail,animal,http://wordnet-rdf.princeton.edu/wn30/01806567-n
partridge,animal,http://wordnet-rdf.princeton.edu/wn30/01807496-n
grey parrot,animal,http://wordnet-rdf.princeton.edu/wn30/01817953-n
macaw,animal,http://wordnet-rdf.princeton.edu/wn30/01818515-n
sulphur-crested cockatoo,animal,http://wordnet-rdf.princeton.edu/wn30/01819313-n
